Year,Annual,Summer,Winter,Model
2015,0.26966641503130256,0.7765792332165412,0.010870447564545666,CMCC-ESM2
2016,0.3182856627669216,0.8275102794261834,0.06798666407242857,CMCC-ESM2
2017,0.3041292079257146,0.796230818638096,-0.02519524744727728,CMCC-ESM2
2018,0.2169729223427791,0.7663276341260661,-0.1192080480209841,CMCC-ESM2
2019,0.2440442165743589,0.7303121571647316,-0.09555138816451178,CMCC-ESM2
2020,0.2552648441298189,0.7342289799327925,-0.04060013921900505,CMCC-ESM2
2021,0.25155057315166435,0.7973530588338898,-0.08584597611336905,CMCC-ESM2
2022,0.2919783189323461,0.8122972630963233,-0.0025471475482791166,CMCC-ESM2
2023,0.2806792110580006,0.77676941343142,-0.07314562182614961,CMCC-ESM2
2024,0.285327200935428,0.8046859144415497,-0.02281425345312606,CMCC-ESM2
2025,0.26491104832650475,0.7521267688579801,-0.04585492579658393,CMCC-ESM2
2026,0.2846964796658302,0.7651125633421246,-0.02057043989341299,CMCC-ESM2
2027,0.21909107636275152,0.7659891414915482,-0.14347154418232275,CMCC-ESM2
2028,0.19546044245244862,0.7026565044636027,-0.14298521775010642,CMCC-ESM2
2029,0.25485560480154384,0.7451965015576308,-0.014364699901599715,CMCC-ESM2
2030,0.2913026534230736,0.7030348404559446,0.037653348378786075,CMCC-ESM2
2031,0.20268081067340307,0.7322433646462171,-0.10110246504457374,CMCC-ESM2
2032,0.20882668366747928,0.7404071717240759,-0.13505184034989906,CMCC-ESM2
2033,0.258843436675895,0.7599541876436625,-0.07576423731480858,CMCC-ESM2
2034,0.2548713435763662,0.7188117425873534,-0.05357791761990082,CMCC-ESM2
2035,0.2462506826604103,0.7380823095701148,-0.07391139133011462,CMCC-ESM2
2036,0.2267988135800382,0.7150316068929901,-0.13073356843404574,CMCC-ESM2
2037,0.11953508818882908,0.6424481130300614,-0.22796518836433285,CMCC-ESM2
2038,0.18524739182683533,0.7403861926236723,-0.10844936550919305,CMCC-ESM2
2039,0.2557789067260073,0.7568805266877582,0.00508182569563093,CMCC-ESM2
2040,0.22534135727391122,0.7093237433818341,-0.10151902839412223,CMCC-ESM2
2041,0.21530653573362116,0.6433124138922205,-0.0651590461152573,CMCC-ESM2
2042,0.27011913891024336,0.7302720859661581,0.027368135743508902,CMCC-ESM2
2043,0.32051022098499166,0.7682992279316699,0.007047616279405605,CMCC-ESM2
2044,0.28471201878988683,0.732596708895825,-0.019890119774197933,CMCC-ESM2
2045,0.2484865298943022,0.742008634709818,-0.04937510752423537,CMCC-ESM2
2046,0.24498269526963745,0.6713623601244618,-0.09192587607395268,CMCC-ESM2
2047,0.2397129413463385,0.7115980548058651,-0.04337150028691979,CMCC-ESM2
2048,0.25676384061780094,0.743856027472189,-0.05522086962538455,CMCC-ESM2
2049,0.22989354034283813,0.743271429052339,-0.15482298562002753,CMCC-ESM2
2050,0.209723653286367,0.7071647889579121,-0.14715085680849788,CMCC-ESM2
2051,0.1970353036984717,0.7451759162265972,-0.16480123487064496,CMCC-ESM2
2052,0.1694662355340757,0.6947173411897377,-0.22321903197331763,CMCC-ESM2
2053,0.2243078837480231,0.7032464281282106,-0.1225797268912019,CMCC-ESM2
2054,0.23271724524809523,0.7304998047149182,-0.0996949028906736,CMCC-ESM2
2055,0.27652976497867743,0.7177676456819362,-0.05509231547910622,CMCC-ESM2
2056,0.1936917322408804,0.705052534020355,-0.1445108224844121,CMCC-ESM2
2057,0.19067468116159011,0.7006238708760929,-0.14050324870323525,CMCC-ESM2
2058,0.2622540574719263,0.7460825523039554,-0.03156324837356689,CMCC-ESM2
2059,0.2503359913881676,0.7023619444257346,-0.05102497001878434,CMCC-ESM2
2060,0.2380340919725649,0.6883078085594001,-0.08104172178556211,CMCC-ESM2
2061,0.20901936024005377,0.7204585153245907,-0.11224441926175227,CMCC-ESM2
2062,0.2244582758213541,0.602844608646273,-0.09352606929708397,CMCC-ESM2
2063,0.2342219129552864,0.7107013465657703,-0.01847358187210336,CMCC-ESM2
2064,0.24839504967675077,0.6962972635344723,-0.046960748172581473,CMCC-ESM2
2065,0.17759615220519123,0.5686509372680267,-0.15320633809720033,CMCC-ESM2
2066,0.08594120783968151,0.6291929771571064,-0.24012699824946973,CMCC-ESM2
2067,0.18180722070076083,0.6959120618630121,-0.1433775675152315,CMCC-ESM2
2068,0.23090292371011265,0.6760502211587145,-0.08621657555122895,CMCC-ESM2
2069,0.22783506135449824,0.755657716998198,-0.10072555217624984,CMCC-ESM2
2070,0.23186678030569782,0.6773728790252026,-0.09994015900619313,CMCC-ESM2
2071,0.19624427430342228,0.6431812398170148,-0.12868193907118222,CMCC-ESM2
2072,0.18189777817320582,0.6674461975110877,-0.12566793209741256,CMCC-ESM2
2073,0.16369847873083307,0.6559193172192026,-0.17652701928405526,CMCC-ESM2
2074,0.13169160345144656,0.603557091361628,-0.18500345434319418,CMCC-ESM2
2075,0.09129490369163192,0.6839944436074533,-0.3026683678341906,CMCC-ESM2
2076,0.1323390500280476,0.5910636424168803,-0.23868237669383963,CMCC-ESM2
2077,0.16335903165581925,0.6245430451243124,-0.16985292581804295,CMCC-ESM2
2078,0.1786393006325541,0.6312442227023826,-0.12960358706145877,CMCC-ESM2
2079,0.12311586936711931,0.686819169115603,-0.26573666872365703,CMCC-ESM2
2080,0.1275370447505542,0.6153392916945254,-0.2692493424273447,CMCC-ESM2
2081,0.09797345422558397,0.5719728718234635,-0.27060996189277997,CMCC-ESM2
2082,0.060019032037956666,0.5483164415373131,-0.3289571851339286,CMCC-ESM2
2083,0.07902210840584,0.518265272521711,-0.2928802828416998,CMCC-ESM2
2084,0.1015810962189045,0.48790244873349947,-0.2088508409082985,CMCC-ESM2
2085,0.09037336249651029,0.5627385186319748,-0.24536462036687415,CMCC-ESM2
2086,0.06145203834185026,0.5618037867140774,-0.28965263137798947,CMCC-ESM2
2087,0.028229868382670147,0.49328456550221983,-0.34203010353845903,CMCC-ESM2
2088,0.09007275985872805,0.6421439108884428,-0.21496068435185148,CMCC-ESM2
2089,0.1547178118378694,0.46145320315891586,-0.1614996613312587,CMCC-ESM2
2090,0.06283005308361138,0.574505171442227,-0.25792771525670455,CMCC-ESM2
2091,0.08558398387419797,0.5662972105113855,-0.26662125384229923,CMCC-ESM2
2092,0.07139515278109547,0.5492610249293419,-0.25361760628973967,CMCC-ESM2
2093,0.11172366216863687,0.5494102759873992,-0.2506924155532092,CMCC-ESM2
2094,0.06194024291163699,0.5758651605781956,-0.3257319469516886,CMCC-ESM2
2095,-0.002397188439451229,0.49560263369134255,-0.43869471128369003,CMCC-ESM2
2096,0.0016569623578763608,0.5315408799157946,-0.3690036562343033,CMCC-ESM2
2097,0.08172255289809134,0.532247762336578,-0.260330637021611,CMCC-ESM2
2098,0.13117515911538116,0.603927929833162,-0.18406499835395823,CMCC-ESM2
2099,0.10076445301412688,0.5080721333729393,-0.2523687135001147,CMCC-ESM2
2100,0.07464669810135871,0.6175903202301679,-0.23100377503211234,CMCC-ESM2
