Year,Annual,Summer,Winter
2015,17.711474600000003,38.098598861694335,5.53220740556717
2016,18.1314876,39.06345062255859,5.579106110334396
2017,17.974892999999998,38.69145965576172,5.576502424478531
2018,17.7032752,38.29691925048828,5.333688014745713
2019,17.6273749,38.44395484924316,5.235964888334275
2020,18.1415694,39.55637092590332,5.397982195019722
2021,17.6102331,37.76909561157227,5.3911117851734165
2022,17.7950073,37.81031265258789,5.6269344806671135
2023,17.4170074,37.151926803588864,5.434140425920487
2024,17.566629,38.01037178039551,5.297806549072266
2025,17.6329402,38.33546257019043,5.189445269107819
2026,17.697532000000002,37.98987808227539,5.483232268691063
2027,17.444718,37.492922973632815,5.211865419149399
2028,17.580065,38.009230041503905,5.2457335770130165
2029,18.154013799999998,38.75609092712402,5.543103444576263
2030,18.324725800000003,39.74841728210449,5.443366420269013
2031,17.8447226,39.32823524475098,5.105513954162598
2032,17.5080022,37.498910903930664,5.27207063138485
2033,17.4585516,37.80156707763672,5.190676164627075
2034,17.557595,38.12725296020508,5.384661495685577
2035,17.511009,37.728532791137695,5.344203227758408
2036,17.612434,37.75429420471191,5.366893076896668
2037,17.483539,37.87366790771485,5.098538053035736
2038,17.937536,38.95803337097168,5.335799676179885
2039,18.265141399999997,39.53518104553223,5.59161661863327
2040,17.8836117,38.175514221191406,5.488476526737213
2041,17.7684666,38.70606307983398,5.359791129827499
2042,18.4963076,39.722124862670896,5.743614184856415
2043,18.2570354,39.296257400512694,5.50915504693985
2044,17.9099954,38.65382614135742,5.398147901892662
2045,18.0764572,38.741166305541995,5.555683445930481
2046,17.593348499999998,37.91891365051269,5.318416005373001
2047,17.7681832,38.38703079223633,5.336817818880081
2048,18.352078,39.36814231872559,5.4410333156585695
2049,18.077083,39.30865364074707,5.385627263784409
2050,18.183990599999998,39.36851615905762,5.383858907222748
2051,18.1327682,39.040344619750975,5.407403147220611
2052,18.1405968,39.55395393371582,5.172743183374405
2053,17.9797104,39.01269340515137,5.1458614975214
2054,17.8813052,38.56423683166504,5.285746091604233
2055,18.0081216,38.33070678710938,5.546988135576248
2056,18.3775184,39.89584503173828,5.442910861968994
2057,18.6109068,40.105095291137694,5.451525396108627
2058,18.6428764,39.59671325683594,5.629810434579849
2059,18.2468506,38.7629207611084,5.535288560390472
2060,18.6021142,40.23256607055664,5.4034848541021345
2061,18.5117292,39.562325668334964,5.431415557861328
2062,18.0911692,38.231632995605466,5.4575849890708925
2063,18.6289102,39.89824867248535,5.616872525215149
2064,18.389464800000002,39.062018966674806,5.610856732726097
2065,18.560083,39.945193481445315,5.4390188515186315
2066,18.4465893,39.29553108215332,5.303654426336289
2067,18.3764332,39.21779937744141,5.466438093781472
2068,18.3467127,38.923254776000974,5.441570067405701
2069,18.733606599999998,40.147939682006836,5.487286698818206
2070,19.122275,40.768754196166995,5.636842161417008
2071,19.0763258,40.87947998046875,5.414955735206604
2072,18.925723500000004,40.154594039916994,5.54028559923172
2073,18.5293816,39.40694389343262,5.312262445688248
2074,18.6053,39.87353630065918,5.433647382259369
2075,18.5025124,39.223395919799806,5.361274135112763
2076,18.9554342,40.497344970703125,5.315399640798569
2077,19.1740644,40.95278549194336,5.35299865603447
2078,19.1883799,41.06922225952148,5.461022382974625
2079,19.1579188,41.117245483398435,5.470948004722596
2080,19.205703200000002,41.073175048828126,5.328967818617821
2081,18.8990546,40.54251937866211,5.262018567323684
2082,19.022328800000004,41.273416900634764,5.138394349813462
2083,19.143969400000003,41.005899810791014,5.528489404916764
2084,19.045859999999998,40.88264389038086,5.433418482542038
2085,19.038997799999997,40.81489562988281,5.446379005908965
2086,19.0996792,40.98208770751953,5.308188658952714
2087,19.235893,41.77851181030273,5.086421549320221
2088,19.4131432,41.73764266967773,5.4640627086162565
2089,19.679875400000004,42.10380630493164,5.599877882003783
2090,19.700331600000002,41.99037399291992,5.545246857404709
2091,19.8186559,42.6015022277832,5.521178025007248
2092,19.6709452,42.083824157714844,5.44939140677452
2093,19.7162688,42.117601013183595,5.489763993024826
2094,19.794393,42.47372207641602,5.301039776206016
2095,19.820714799999998,42.75561447143555,5.259482711553574
2096,20.0697682,43.38831787109375,5.415167027711869
2097,19.7610568,42.092028045654295,5.606660294532777
2098,19.8462748,42.31859283447265,5.636077785491944
2099,19.7901746,42.07306137084961,5.577116319537163
2100,19.53758,41.612395477294925,5.472748732566833
