Percentage,Correlation_ice,p-value_ice,Variable,Model,Season,Correlation_ice_k,p-value_ice_k
-0.7877124547958374,-0.004178098837658448,0.8271454447735032,Export,EC-Earth3-CC,summer,0.2579434458642076,1.0277014590578367e-76
-5.64434289932251,-0.07497688929718943,1.1406199667061832e-05,Export,EC-Earth3-CC,winter,-0.08602481293277217,1.0795826247697577e-13
44.952056884765625,0.0026065946000228828,0.8916192288668012,Surface temperature,EC-Earth3-CC,summer,0.22054761844488324,1.3552384649622222e-56
-46.948516845703125,-0.6891070415940327,0.0,Surface temperature,EC-Earth3-CC,winter,-0.561826253210822,0.0
35.307979583740234,-0.23964716199063932,1.0682734915647197e-48,Surface temperature,MPI-ESM1-2-HR,summer,-0.10665351777722169,2.9064139017871653e-21
-10.812871932983398,-0.026388567284979916,0.06764963061026598,Surface temperature,MPI-ESM1-2-HR,winter,-0.7718985964377864,0.0
5.4301557540893555,-0.02293500182041046,0.1710298654861303,Export,MPI-ESM1-2-HR,summer,0.0839247504308892,1.729301632897687e-13
-7.581862449645996,-0.00690034582565194,0.6355001403833089,Export,MPI-ESM1-2-HR,winter,0.09224910986850167,7.009389067757306e-21
40.37031555175781,-0.25517237115613484,7.185416754281365e-72,Surface temperature,ACCESS-ESM1-5,summer,-0.0943808750373706,1.529616320571429e-22
-15.445880889892578,-0.9036806642436896,0.0,Surface temperature,ACCESS-ESM1-5,winter,-0.8006470399449022,0.0
29.31285285949707,0.21044475314611016,8.853399296434587e-49,Export,ACCESS-ESM1-5,summer,0.4122353348930528,0.0
4.748622894287109,0.1413038442910677,1.1884060013974592e-22,Export,ACCESS-ESM1-5,winter,0.455725202520023,0.0
71.85211181640625,-0.5747493557766321,0.0,Surface temperature,CMCC-ESM2,summer,-0.4631455529399934,0.0
-16.7470645904541,-0.9154510899454418,0.0,Surface temperature,CMCC-ESM2,winter,-0.8291783797532984,0.0
25.255332946777344,-0.06717938582657926,6.4408301777429986e-06,Export,CMCC-ESM2,summer,0.1664370249522208,3.1250920795817246e-62
-3.9855668544769287,0.36630905249686246,8.200210673061025e-141,Export,CMCC-ESM2,winter,0.26525370546613664,1.8663405184551292e-149
-6.109147071838379,0.38997005652419886,6.621164491908363e-189,Export,IPSL-CM6A-LR,summer,0.4105684481460368,0.0
0.5430104732513428,0.5366364997756714,0.0,Export,IPSL-CM6A-LR,winter,0.4297029467667815,0.0
86.2286376953125,-0.5010159210953605,0.0,Surface temperature,IPSL-CM6A-LR,summer,-0.2646001224050934,6.691695255821695e-173
-9.438555717468262,-0.9079892656946107,0.0,Surface temperature,IPSL-CM6A-LR,winter,-0.8299349144213201,0.0
