Percentage,Correlation,p-value,Kendall,p_value_k,Variable,Model,Export
-2.4684267044067383,0.0786579454146386,5.533611149941689e-08,0.0879163401907193,9.538572453579712e-20,Iron,ACCESS-ESM1-5,98.8232822021433
27.23697090148925,0.9622478455858804,0.0,0.920251229932218,0.0,NPP,ACCESS-ESM1-5,98.8232822021433
-15.450725555419922,-0.0026000711548608,0.8576861177530731,-0.2547900877795228,4.4339803966002826e-153,MLD,ACCESS-ESM1-5,98.8232822021433
-4.081036567687988,-0.2023793228315791,3.6010460110205164e-45,-0.3772557921163599,0.0,Nitrate,ACCESS-ESM1-5,98.8232822021433
10.126846313476562,0.232803399734304,1.3682121669362625e-59,0.6991336650661807,0.0,PAR,ACCESS-ESM1-5,98.8232822021433
-60.33794021606445,0.1947368728479299,6.865782166973751e-42,0.4717748965161475,0.0,Sea ice cover,ACCESS-ESM1-5,98.8232822021433
0.4200847744941711,-0.2175680363551353,4.287633352088832e-52,-0.1809379463374654,3.648883642616435e-78,SST,ACCESS-ESM1-5,98.8232822021433
9.4312105178833,0.4805528843673534,6.532723721072782e-259,0.279009521651292,2.269805386484603e-173,Iron,CMCC-ESM2,75.01110617503332
16.154680252075195,0.4357908066719566,4.276359320739966e-208,0.6166661920859587,0.0,NPP,CMCC-ESM2,75.01110617503332
16.627368927001953,0.4684080476413882,2.295820282851757e-244,0.6444620480704668,0.0,Diatom,CMCC-ESM2,75.01110617503332
-8.443768501281738,0.1466012120673231,4.729617626987401e-23,0.0552438566640652,2.7307022434796694e-08,MLD,CMCC-ESM2,75.01110617503332
-6.458160877227783,0.1546310376662497,1.712363391800156e-25,0.0597567024572901,1.833603338357928e-09,Nitrate,CMCC-ESM2,75.01110617503332
4.463072299957275,0.3613258221476475,6.456965208241759e-139,0.3546769951215737,7.322223141189967e-279,PAR,CMCC-ESM2,75.01110617503332
-64.69642639160156,0.2192365507636041,3.9742605421965576e-50,0.2613062020347723,9.576301905499457e-151,Sea ice cover,CMCC-ESM2,75.01110617503332
0.330637127161026,-0.2472340031342647,1.1183974534966586e-63,-0.231834852633074,2.5281287114400202e-120,SST,CMCC-ESM2,75.01110617503332
12.727083206176758,0.932626695396752,0.0,0.7115789171031383,0.0,NPP,EC-Earth3-CC,67.73910500146242
7.00269889831543,0.945449874020372,0.0,0.7390435983288232,0.0,Diatom,EC-Earth3-CC,67.73910500146242
-14.979737281799316,0.3657645242465213,1.01320180139984e-108,0.2652674930361926,1.2883792025459112e-119,MLD,EC-Earth3-CC,67.73910500146242
-3.552132129669189,0.1628999018227757,9.180676276407866e-22,0.0837416234074291,2.1188345937741745e-13,Nitrate,EC-Earth3-CC,67.73910500146242
5.679640769958496,0.7310095384420715,0.0,0.4524920812148686,0.0,PAR,EC-Earth3-CC,67.73910500146242
-89.41948699951172,0.1474182586486306,4.551108826118141e-18,0.1927783632054212,5.320125750850138e-63,Sea ice cover,EC-Earth3-CC,67.73910500146242
0.5022037029266357,0.2159835012683424,2.247278777733222e-37,0.0945563267923915,1.1408074363599102e-16,SST,EC-Earth3-CC,67.73910500146242
-16.746124267578125,0.1482122193600839,4.838101468476847e-28,0.2565668019722412,9.038662698660655e-177,Iron,IPSL-CM6A-LR,52.311659605820594
10.6771879196167,0.9724162390403362,0.0,0.6039936195149509,0.0,NPP,IPSL-CM6A-LR,52.311659605820594
-2.0686583518981934,0.9801055282449616,0.0,0.6953055293930613,0.0,Diatom,IPSL-CM6A-LR,52.311659605820594
-13.352075576782228,-0.2198862353085172,1.9451551263125056e-60,-0.1548439040516541,1.288428042652989e-65,MLD,IPSL-CM6A-LR,52.311659605820594
-5.896163940429688,-0.5477979609248892,0.0,-0.350021806258621,0.0,Nitrate,IPSL-CM6A-LR,52.311659605820594
12.260889053344728,0.7380488335874051,0.0,0.298913562453548,3.4334991841995083e-239,PAR,IPSL-CM6A-LR,52.311659605820594
-55.470252990722656,0.3197643002484811,2.614283425545528e-129,0.2648409130641874,1.1738339652215405e-186,Sea ice cover,IPSL-CM6A-LR,52.311659605820594
0.5319821834564209,-0.2929363672180181,6.874934674214554e-108,-0.2106473652213942,8.170853421404308e-120,SST,IPSL-CM6A-LR,52.311659605820594
-1.5813790559768677,-0.67510537451502,0.0,-0.5276769369181773,0.0,Iron,MPI-ESM1-2-HR,66.42532064542822
4.3747878074646,0.9188353924684616,0.0,0.7615380196773366,0.0,NPP,MPI-ESM1-2-HR,66.42532064542822
-18.06228256225586,0.0098327415903793,0.4943032751518132,-0.0672279626356852,2.405479471750595e-12,MLD,MPI-ESM1-2-HR,66.42532064542822
0.0811335295438766,-0.6523030302720886,0.0,-0.5164082143007456,0.0,Nitrate,MPI-ESM1-2-HR,66.42532064542822
-1.1275559663772583,0.7959495583969317,0.0,0.557049374261622,0.0,PAR,MPI-ESM1-2-HR,66.42532064542822
-53.11725234985352,0.1862668391490791,7.503735029572809e-39,0.078122432486375,7.25061144949783e-16,Sea ice cover,MPI-ESM1-2-HR,66.42532064542822
0.245645061135292,0.1735618168160649,5.2995637703387235e-34,0.1580868423003558,5.026457210348636e-61,SST,MPI-ESM1-2-HR,66.42532064542822
