Correlation_ice,p-value_ice,Variable,Model,Correlation_ice_k,p-value_ice_k
0.13764108699242936,6.220462923222663e-16,NPP,EC-Earth3-CC,0.22793612934281376,2.338984392147076e-87
0.0316027470323698,0.06461119169882563,Diatom,EC-Earth3-CC,0.11725149492930209,2.164705042577411e-24
-0.26444357626692827,8.01521867348868e-56,Mixed layer depth,EC-Earth3-CC,-0.1461161019912367,5.884951462404085e-37
-0.5637546861506962,3.293592828251789e-286,Nitrate,EC-Earth3-CC,-0.3800261254930162,2.842946653553639e-239
0.3979656643789022,3.636984110486426e-130,PAR,EC-Earth3-CC,0.42283684513950065,1.0464236805109752e-295
-0.43723191151837726,1.482274082688355e-227,Iron,MPI-ESM1-2-HR,-0.27637780187806493,6.0223204943262924e-182
0.21942367357244216,2.1312869961352416e-54,NPP,MPI-ESM1-2-HR,0.0961908607579806,1.3620517178557048e-23
-0.6290628799356609,0.0,Mixed layer depth,MPI-ESM1-2-HR,-0.48458056696619445,0.0
-0.4455190631447286,3.289503560347668e-237,Nitrate,MPI-ESM1-2-HR,-0.27327257169569624,6.297463327705742e-178
0.3260697473352501,1.6067460988328707e-121,PAR,MPI-ESM1-2-HR,0.22313000438705274,2.705777623684095e-119
0.21559386136191577,2.4348279754167317e-51,Iron,ACCESS-ESM1-5,0.19949598114161893,9.957072160603425e-95
0.2691135900699801,4.974366654738832e-80,NPP,ACCESS-ESM1-5,0.4431918956917546,0.0
-0.35027137276938597,6.664736575624578e-138,Mixed layer depth,ACCESS-ESM1-5,-0.30039653765690727,3.007643343439788e-212
-0.5423359428439152,0.0,Nitrate,ACCESS-ESM1-5,-0.36072905410068645,4.0234573173597064e-305
0.4945773333039048,3.6913608355690765e-293,PAR,ACCESS-ESM1-5,0.42908153416877476,0.0
0.04007927839790232,0.007148848323189833,Iron,CMCC-ESM2,-0.011558606465151881,0.2473142376417351
0.09664582828654289,8.097566934303667e-11,NPP,CMCC-ESM2,0.23877774621299858,3.1224934044703006e-126
0.12367251091679195,8.176580160799671e-17,Diatom,CMCC-ESM2,0.2689606903907966,1.274442683097525e-159
-0.4542424794175531,3.545014232964848e-228,Mixed layer depth,CMCC-ESM2,-0.3066863337258004,6.407585608684565e-207
-0.3567093963845057,3.19397003658515e-135,Nitrate,CMCC-ESM2,-0.2664407185247445,1.1076791627048868e-156
0.08156146528875488,4.235364514748581e-08,PAR,CMCC-ESM2,0.20214580806034116,5.044815433684893e-91
0.35141756222481035,1.332304469824645e-157,Iron,IPSL-CM6A-LR,0.20449088853791292,4.093384335670388e-112
0.2834765263542586,6.940303393454385e-101,NPP,IPSL-CM6A-LR,0.1791115504342769,1.8385565587072958e-86
0.34349277464557104,3.287119333413586e-150,Diatom,IPSL-CM6A-LR,0.30382908774296913,4.856111880029944e-245
-0.5966058961329108,0.0,Mixed layer depth,IPSL-CM6A-LR,-0.39586058307266114,0.0
-0.6211022506694167,0.0,Nitrate,IPSL-CM6A-LR,-0.4255497467102574,0.0
0.39802253454900305,1.3818321960588754e-205,PAR,IPSL-CM6A-LR,0.320273170334487,4.81127608327759e-272
