Percentage,Correlation_ice,p-value_ice,Variable,Model,Correlation_ice_k,p-value_ice_k
5.545315742492676,0.1474182907537977,4.551038089624852e-18,Export,EC-Earth3-CC,0.19277836320542127,5.320125750850138e-63
66.31356811523438,-0.39220126103469133,3.7415730695258304e-126,Surface temperature,EC-Earth3-CC,-0.2634908085608355,4.3824097414074093e-116
-27.207460403442383,-0.7650580600529665,0.0,Surface temperature,MPI-ESM1-2-HR,-0.5990609098434448,0.0
4.768065452575684,0.18626681371022313,7.503943951756571e-39,Export,MPI-ESM1-2-HR,0.07812208438325968,7.252745212630377e-16
-9.82131576538086,-0.7844866819975583,0.0,Surface temperature,ACCESS-ESM1-5,-0.5970162781553349,0.0
24.962509155273438,0.1947368926052193,6.865782166973751e-42,Export,ACCESS-ESM1-5,0.4717748289174294,0.0
-50.56378173828125,-0.8842151094932986,0.0,Surface temperature,CMCC-ESM2,-0.7453901895079985,0.0
11.107160568237305,0.2192365866497695,3.9741372578876593e-50,Export,CMCC-ESM2,0.2613065127813477,9.568828660020508e-151
0.5172841548919678,0.31976427045499317,2.614434276774941e-129,Export,IPSL-CM6A-LR,0.26484036757728746,1.1758909233153184e-186
-55.28810119628906,-0.8658719390499195,0.0,Surface temperature,IPSL-CM6A-LR,-0.7104345263918012,0.0
