Correlation_npp,p-value_npp,Variable,Model,Correlation_npp_k,p-value_npp_k
0.928945362034068,0.0,Diatom,EC-Earth3-CC,0.6959237230836227,0.0
0.4435686536958535,7.490646485625149e-165,MLD,EC-Earth3-CC,0.3255498558365049,3.4323784368705667e-179
0.8643629699164536,0.0,PAR,EC-Earth3-CC,0.616462330284836,0.0
0.1792388348115446,4.383122425877362e-26,Nitrate,EC-Earth3-CC,0.0408619740367164,0.0003401597985278
0.1376410869924293,6.220462923222663e-16,Sea ice cover,EC-Earth3-CC,0.2279361293428137,2.338984392147076e-87
-0.658360160551325,0.0,Iron,MPI-ESM1-2-HR,-0.5392964346331147,0.0
0.010388948496655,0.4667799537012771,MLD,MPI-ESM1-2-HR,-0.070794748546789,1.025156901418742e-13
-0.6388572532879742,0.0,Nitrate,MPI-ESM1-2-HR,-0.5249346407304023,0.0
0.8388468299888004,0.0,PAR,MPI-ESM1-2-HR,0.586524200911878,0.0
0.2194236735724421,2.1312869961352416e-54,Sea ice cover,MPI-ESM1-2-HR,0.0961908607579806,1.3620517178557048e-23
0.1027141925271665,1.1158637889690597e-12,Iron,ACCESS-ESM1-5,0.0887852038896579,3.567478037908263e-20
-0.0263195619312177,0.0689500001846106,MLD,ACCESS-ESM1-5,-0.2346445243075995,1.3597187644008966e-130
-0.2829725487628889,1.225907678814999e-88,Nitrate,ACCESS-ESM1-5,-0.3594534942999021,1.1269979556240864e-303
0.3648116287949757,2.7973405657464743e-150,PAR,ACCESS-ESM1-5,0.717716217888414,0.0
0.2691135900699801,4.974366654738832e-80,Sea ice cover,ACCESS-ESM1-5,0.4431918956917546,0.0
0.1529682620045341,5.557954774876367e-25,Iron,CMCC-ESM2,0.2615876035053392,1.1236852504818172e-152
0.9979169325373792,0.0,Diatom,CMCC-ESM2,0.9294413295248922,0.0
-0.0193840574692026,0.193423978708359,MLD,CMCC-ESM2,0.0468206568453183,2.4653235441121728e-06
0.0800218489381919,7.575787098521684e-08,Nitrate,CMCC-ESM2,0.1122498730299917,1.4001611241240254e-29
0.9555849935220158,0.0,PAR,CMCC-ESM2,0.4611349214120313,0.0
0.0966458282865428,8.097566934303666e-11,Sea ice cover,CMCC-ESM2,0.2387777462129985,3.1224934044703006e-126
0.0368895870774756,0.0065551106744793,Iron,IPSL-CM6A-LR,-0.0007754550761167,0.9317163589839212
0.9664842683173412,0.0,Diatom,IPSL-CM6A-LR,0.4840999308569497,0.0
-0.2042812527895049,3.017715234021989e-52,MLD,IPSL-CM6A-LR,-0.0480779433438816,1.08145388937128e-07
-0.5234418874795019,0.0,Nitrate,IPSL-CM6A-LR,-0.2621978650763714,1.4777251665836528e-184
0.8192197332656955,0.0,PAR,IPSL-CM6A-LR,0.5253731886034292,0.0
0.2834765263542586,6.940303393454385e-101,Sea ice cover,IPSL-CM6A-LR,0.1791115504342769,1.838556558707296e-86
