Percentage,Correlation_ice,p-value_ice,Variable,Model,Zone,Correlation_ice_k,p-value_ice_k
11.389039039611816,0.1311689047865261,4.879097738963155e-12,Export,EC-Earth3-CC,inc,0.22322269351175658,5.759432290862328e-68
-3.062441825866699,0.13198996169049082,7.60473623735598e-07,Export,EC-Earth3-CC,dec,0.03958470710912837,0.028917272643404535
64.99781799316406,-0.40693686549099184,2.653865199241646e-110,Surface temperature,EC-Earth3-CC,inc,-0.26445864777082895,1.233903746392743e-94
66.45143127441406,-0.3377199449893018,1.4717522020735678e-38,Surface temperature,EC-Earth3-CC,dec,-0.27776584356397743,4.448778149422119e-53
-37.77489471435547,-0.7717199564308256,0.0,Surface temperature,MPI-ESM1-2-HR,inc,-0.5796155825475279,0.0
24.527385711669922,-0.8319789595633476,0.0,Surface temperature,MPI-ESM1-2-HR,dec,-0.6797872073804344,0.0
8.496967315673828,0.2437865511149437,5.027851665803729e-51,Export,MPI-ESM1-2-HR,inc,0.1262958881407702,2.9008795516255366e-30
-3.5083398818969727,0.10431535414471323,2.124566383046046e-06,Export,MPI-ESM1-2-HR,dec,0.011032983942554597,0.4591190387628189
-11.116325378417969,-0.7808619091673642,0.0,Surface temperature,ACCESS-ESM1-5,inc,-0.5929584310809214,0.0
18.30488395690918,-0.818554101321937,1.9300326017816204e-21,Surface temperature,ACCESS-ESM1-5,dec,-0.6775674125071716,7.199369489009555e-20
25.104570388793945,0.19717889462624746,1.1107642459264049e-42,Export,ACCESS-ESM1-5,inc,0.48694088524211754,0.0
-2.83750581741333,-0.41348246221983853,9.25606948262938e-05,Export,ACCESS-ESM1-5,dec,-0.4520940906483075,1.1416904138990364e-09
-58.460205078125,-0.8738228921158874,0.0,Surface temperature,CMCC-ESM2,inc,-0.7332636701078983,0.0
94.55908203125,-0.9020462673553061,0.0,Surface temperature,CMCC-ESM2,dec,-0.6808630327734109,6.110201935470698e-288
15.040586471557617,0.1338000736988051,2.7501467773603315e-16,Export,CMCC-ESM2,inc,0.15889288649113495,1.1962652505463687e-47
-4.640246391296387,0.39776537871875417,1.141791216626467e-52,Export,CMCC-ESM2,dec,0.39928771477909225,2.8020552172853937e-100
7.513701438903809,0.3356978171366293,3.93643965562066e-90,Export,IPSL-CM6A-LR,inc,0.3439509379692889,1.0115411729895182e-197
-5.9911394119262695,-0.07182483419089393,9.038169542495275e-05,Export,IPSL-CM6A-LR,dec,-0.0399567509111719,0.0012307430500035923
-56.212120056152344,-0.870868594553481,0.0,Surface temperature,IPSL-CM6A-LR,inc,-0.7332313690565528,0.0
-44.28581237792969,-0.8577932767870617,0.0,Surface temperature,IPSL-CM6A-LR,dec,-0.6775641357545865,0.0
