Correlation_npp,p-value_npp,Variable,Model,Zone,Correlation_npp_k,p-value_npp_k
0.9253476721325327,0.0,Diatom,EC-Earth3-CC,inc,0.6989007229432178,0.0
0.602303882945913,1.745145204955844e-138,Diatom,EC-Earth3-CC,dec,0.3922621704511094,8.901235462052921e-107
0.4687386531847819,2.0151105121512993e-150,Mixed layer depth,EC-Earth3-CC,inc,0.3652212202022847,1.8102829887561168e-181
0.18542676903694377,2.950946268624899e-12,Mixed layer depth,EC-Earth3-CC,dec,0.07435252397887925,3.177703393058558e-05
0.19643282679699722,2.390571144691159e-25,Nitrate,EC-Earth3-CC,inc,0.07021888923441301,3.333308092164214e-08
-0.2790951965293528,2.240479500140231e-26,Nitrate,EC-Earth3-CC,dec,-0.21755729116314276,4.314770587692729e-34
0.869831781027272,0.0,PAR,EC-Earth3-CC,inc,0.6564084721574731,0.0
0.6229568508266358,9.334740716307294e-151,PAR,EC-Earth3-CC,dec,0.43965426806566604,1.2463992286253545e-133
0.10341118505297069,5.388028948618004e-08,Sea ice cover,EC-Earth3-CC,inc,0.2157136300670641,1.3619829160070123e-63
0.29259102322843145,6.145960193951583e-29,Sea ice cover,EC-Earth3-CC,dec,0.2203073579928391,4.894514415468925e-34
-0.6433025141906001,0.0,Iron,MPI-ESM1-2-HR,inc,-0.5263439036082096,0.0
-0.5476811879605847,1.1359422256311575e-162,Iron,MPI-ESM1-2-HR,dec,-0.3525443771017458,6.157163255351109e-128
-0.002201722630729746,0.8931826219317631,Mixed layer depth,MPI-ESM1-2-HR,inc,-0.06884579229623253,3.0292356855829533e-10
-0.06555972627651593,0.002816541600834637,Mixed layer depth,MPI-ESM1-2-HR,dec,-0.06797736057247031,3.4884830079150163e-06
-0.6142729511697017,0.0,Nitrate,MPI-ESM1-2-HR,inc,-0.5032659157932888,0.0
-0.5391480615622706,9.628928238224146e-157,Nitrate,MPI-ESM1-2-HR,dec,-0.3488861939404596,2.452710861021269e-125
0.8302241422136483,0.0,PAR,MPI-ESM1-2-HR,inc,0.596319840029588,0.0
0.39598529924021375,8.066392422545429e-79,PAR,MPI-ESM1-2-HR,dec,0.20248071708577145,1.9264821159447902e-43
0.283342263416168,2.247362840062786e-69,Sea ice cover,MPI-ESM1-2-HR,inc,0.15730310816446655,3.0928072060774714e-46
0.1342899603626782,8.982480145937333e-10,Sea ice cover,MPI-ESM1-2-HR,dec,0.012884661805823653,0.386322827183169
0.10263768099201427,1.4009124781483703e-12,Iron,ACCESS-ESM1-5,inc,0.08852972536592661,6.234477521631476e-20
0.6630606569655147,6.348163390801543e-12,Iron,ACCESS-ESM1-5,dec,0.5295467584624212,9.945498800225207e-13
-0.025180425126160557,0.08298664333839816,Mixed layer depth,ACCESS-ESM1-5,inc,-0.23091988777848205,1.250905469983081e-125
-0.56216267768998,2.629573496433279e-08,Mixed layer depth,ACCESS-ESM1-5,dec,-0.3843947217441193,2.2604241996682108e-07
-0.2826802311078154,8.124048213481655e-88,Nitrate,ACCESS-ESM1-5,inc,-0.3559035112412425,1.3975935663988727e-295
0.10938798041718387,0.3219241162509904,Nitrate,ACCESS-ESM1-5,dec,0.004589787722317842,0.9507146214683395
0.36461868757590976,5.023971807388558e-149,PAR,ACCESS-ESM1-5,inc,0.7168183390620059,0.0
0.4223512900941846,6.284697192689632e-05,PAR,ACCESS-ESM1-5,dec,0.20883534136546184,0.004918439935975558
0.27319020286411444,6.421685807949306e-82,Sea ice cover,ACCESS-ESM1-5,inc,0.45697867251471913,0.0
-0.3608235380357454,0.0007467912623579516,Sea ice cover,ACCESS-ESM1-5,dec,-0.4348823866896156,4.728937549200762e-09
0.13230824846856729,5.881650022773359e-16,Iron,CMCC-ESM2,inc,0.2647619918303189,3.747372987885453e-129
0.2138646472485568,1.636019372281107e-15,Iron,CMCC-ESM2,dec,0.15339107860512718,2.4959858408637352e-17
0.9981528844320791,0.0,Diatom,CMCC-ESM2,inc,0.9172423831913498,0.0
0.9916952339765212,0.0,Diatom,CMCC-ESM2,dec,0.9061387905183725,0.0
-0.042710486161718846,0.009273687611708922,Mixed layer depth,CMCC-ESM2,inc,0.009278807452318415,0.39679713318138243
-0.09912106454649358,0.00025383029924949674,Mixed layer depth,CMCC-ESM2,dec,-0.049013298198508144,0.006814003142558101
0.08593651064376116,1.5857917040460192e-07,Nitrate,CMCC-ESM2,inc,0.1492142518074345,2.787072547237083e-42
0.03474728603634504,0.20065721864025404,Nitrate,CMCC-ESM2,dec,0.08517771268380936,2.5728215215599826e-06
0.9572949875593314,0.0,PAR,CMCC-ESM2,inc,0.4069986684242731,2.2651758963784187e-302
0.47591661737428076,1.0826848085758728e-77,PAR,CMCC-ESM2,dec,0.27655325628416666,1.2640863540719998e-52
0.060081941906735783,0.0002505939196647131,Sea ice cover,CMCC-ESM2,inc,0.13949509481196817,3.998115665790208e-37
0.3086263395621562,2.3422235449821736e-31,Sea ice cover,CMCC-ESM2,dec,0.24965126408409619,2.4204084397131653e-40
-0.037157461588144904,0.030437357836424955,Iron,IPSL-CM6A-LR,inc,-0.10491741630848483,5.078120620832008e-20
-0.2773281980572489,1.6302307057982177e-53,Iron,IPSL-CM6A-LR,dec,-0.1637199477655015,9.472783232096305e-41
0.9740336169417786,0.0,Diatom,IPSL-CM6A-LR,inc,0.44243331249176737,0.0
0.3373052149279294,7.891322186787465e-80,Diatom,IPSL-CM6A-LR,dec,0.24860490230649113,1.3689403798210283e-91
-0.26236121234417137,1.5924676448234982e-54,Mixed layer depth,IPSL-CM6A-LR,inc,-0.14854429365685376,1.7580991188539195e-38
0.24407459034898144,1.7552820051374585e-41,Mixed layer depth,IPSL-CM6A-LR,dec,0.2204028387839787,2.1548427330040746e-72
-0.562105014149472,5.822963548841799e-282,Nitrate,IPSL-CM6A-LR,inc,-0.2994066148460036,1.0684579092841337e-150
0.015650432672333164,0.39419687017021854,Nitrate,IPSL-CM6A-LR,dec,0.021424604522896257,0.08026069862915909
0.8593615265056064,0.0,PAR,IPSL-CM6A-LR,inc,0.6232777469421461,0.0
0.6051671301984558,7.068780778927307e-296,PAR,IPSL-CM6A-LR,dec,0.3490764582244546,1.1796678203393098e-178
0.2986718619636689,7.211904969492987e-71,Sea ice cover,IPSL-CM6A-LR,inc,0.18552307251546757,6.593820743054675e-59
-0.15372818375111197,3.805251331663093e-17,Sea ice cover,IPSL-CM6A-LR,dec,-0.04670730361127827,0.00015832459226624573
