Percentage,Correlation_npp,p-value_npp,Variable,Model,Zone,Correlation_npp_k,p-value_npp_k
11.389039039611816,0.9294047569448037,0.0,Export,EC-Earth3-CC,inc,0.7172264069357778,0.0
-3.062441825866699,0.6710878215664037,3.96315877908417e-183,Export,EC-Earth3-CC,dec,0.43471140773699174,1.353042385136635e-130
64.99781799316406,0.4463996632012282,5.955653810564371e-135,Surface temperature,EC-Earth3-CC,inc,0.2633727420065699,2.527093621386896e-95
66.45143127441406,0.12906096539682388,1.3227436414262957e-06,Surface temperature,EC-Earth3-CC,dec,0.13883580818542157,7.94465897322811e-15
-37.77489471435547,0.06246311750266969,0.00013717592830389723,Surface temperature,MPI-ESM1-2-HR,inc,0.0815413689345634,8.749364182061413e-14
24.527385711669922,0.07267729885150002,0.0009256666413444084,Surface temperature,MPI-ESM1-2-HR,dec,0.07299480253300343,6.286503940854624e-07
8.496967315673828,0.8968037073191489,0.0,Export,MPI-ESM1-2-HR,inc,0.7098263026969485,0.0
-3.5083398818969727,0.7466073840051028,0.0,Export,MPI-ESM1-2-HR,dec,0.5876226387851524,0.0
-11.116325378417969,-0.28494603372593635,2.929969004007632e-89,Surface temperature,ACCESS-ESM1-5,inc,-0.157196816815411,3.111323800201232e-59
18.30488395690918,0.4945011529712271,1.7444979474411166e-06,Surface temperature,ACCESS-ESM1-5,dec,0.4394721744119334,3.2538592201429604e-09
25.104570388793945,0.9622772740713059,0.0,Export,ACCESS-ESM1-5,inc,0.9193237996448953,0.0
-2.83750581741333,0.9739685807669183,1.2566547586991232e-54,Export,ACCESS-ESM1-5,dec,0.8668961560527826,1.725820439110117e-31
-58.460205078125,-0.03069766432279657,0.061539657933903626,Surface temperature,CMCC-ESM2,inc,-0.07218952894427641,4.325945572228463e-11
94.55908203125,-0.30172495331374244,5.584769091900139e-30,Surface temperature,CMCC-ESM2,dec,-0.131103328293917,4.566415679645615e-13
15.040586471557617,0.41630482440673894,1.7823505454999272e-155,Export,CMCC-ESM2,inc,0.5662370857565935,0.0
-4.640246391296387,0.5434131092148411,4.2054475278196235e-105,Export,CMCC-ESM2,dec,0.3576038589374879,1.0926625725621037e-86
,0.9741682553463297,0.0,Export,IPSL-CM6A-LR,inc,0.5616033290130259,0.0
,0.5852988840211527,2.795932621791929e-272,Export,IPSL-CM6A-LR,dec,0.4159083249073138,9.90429469313872e-253
-56.212120056152344,-0.2572614148670333,2.0094411753912873e-52,Surface temperature,IPSL-CM6A-LR,inc,-0.07373866012063054,1.1984255230310343e-10
-44.28581237792969,0.2708498064019585,4.9411803021288966e-51,Surface temperature,IPSL-CM6A-LR,dec,0.19238296929744964,1.3590738111737636e-55
