,variable,value
0,Correlation,0.0786579454146386
1,Correlation,0.9622478455858804
2,Correlation,-0.0026000711548608
3,Correlation,-0.2023793228315791
4,Correlation,-0.2023793228315791
5,Correlation,0.232803399734304
6,Correlation,0.1947368728479299
7,Correlation,-0.2175680363551353
8,Correlation,0.4805528843673534
9,Correlation,0.4357908066719566
10,Correlation,0.4684080476413882
11,Correlation,0.1466012120673231
12,Correlation,0.1546310376662497
13,Correlation,0.3613258221476475
14,Correlation,0.2192365507636041
15,Correlation,-0.2472340031342647
16,Correlation,0.932626695396752
17,Correlation,0.945449874020372
18,Correlation,0.3657645242465213
19,Correlation,0.1628999018227757
20,Correlation,0.7310095384420715
21,Correlation,0.1474182586486306
22,Correlation,0.2159835012683424
23,Correlation,0.1482122193600839
24,Correlation,0.9724162390403362
25,Correlation,0.9801055282449616
26,Correlation,-0.2198862353085172
27,Correlation,-0.5477979609248892
28,Correlation,0.7380488335874051
29,Correlation,0.3197643002484811
30,Correlation,-0.2929363672180181
31,Correlation,-0.67510537451502
32,Correlation,0.9188353924684616
33,Correlation,0.0098327415903793
34,Correlation,-0.6523030302720886
35,Correlation,0.7959495583969317
36,Correlation,0.7959495583969317
37,Correlation,0.1862668391490791
38,Correlation,0.1735618168160649
39,Kendall,0.0879163401907193
40,Kendall,0.920251229932218
41,Kendall,-0.2547900877795228
42,Kendall,-0.3772557921163599
43,Kendall,-0.3772557921163599
44,Kendall,0.6991336650661807
45,Kendall,0.4717748965161475
46,Kendall,-0.1809379463374654
47,Kendall,0.279009521651292
48,Kendall,0.6166661920859587
49,Kendall,0.6444620480704668
50,Kendall,0.0552438566640652
51,Kendall,0.0597567024572901
52,Kendall,0.3546769951215737
53,Kendall,0.2613062020347723
54,Kendall,-0.231834852633074
55,Kendall,0.7115789171031383
56,Kendall,0.7390435983288232
57,Kendall,0.2652674930361926
58,Kendall,0.0837416234074291
59,Kendall,0.4524920812148686
60,Kendall,0.1927783632054212
61,Kendall,0.0945563267923915
62,Kendall,0.2565668019722412
63,Kendall,0.6039936195149509
64,Kendall,0.6953055293930613
65,Kendall,-0.1548439040516541
66,Kendall,-0.350021806258621
67,Kendall,0.298913562453548
68,Kendall,0.2648409130641874
69,Kendall,-0.2106473652213942
70,Kendall,-0.5276769369181773
71,Kendall,0.7615380196773366
72,Kendall,-0.0672279626356852
73,Kendall,-0.5164082143007456
74,Kendall,0.557049374261622
75,Kendall,0.557049374261622
76,Kendall,0.078122432486375
77,Kendall,0.1580868423003558
